,Publish Date,Afraid,Anxiety,Scared,Lonely,Stressed,Help,Failure,Death,Happy,Good,Depressed,University
0,2019-09-30,4,4,3,3,9,67,7,2,7,51,6,UC Berkeley
1,2019-10-31,5,11,4,2,8,48,10,1,6,64,9,UC Berkeley
2,2019-11-30,2,6,2,6,8,49,10,2,10,68,7,UC Berkeley
3,2019-12-31,4,11,13,3,15,65,22,1,12,56,5,UC Berkeley
4,2020-01-31,3,9,5,2,8,75,5,3,4,62,6,UC Berkeley
5,2019-09-30,4,11,7,3,4,49,2,3,9,65,2,UC Davis
6,2019-10-31,6,3,7,7,4,65,4,4,3,57,5,UC Davis
7,2019-11-30,1,5,2,4,5,48,7,2,0,40,4,UC Davis
8,2019-12-31,0,6,4,5,2,23,8,3,3,30,6,UC Davis
9,2020-01-31,1,3,3,3,6,38,2,2,6,41,2,UC Davis
10,2019-09-30,2,3,6,1,4,83,2,0,1,67,0,UC Irvine
11,2019-10-31,5,6,11,4,4,104,13,2,8,45,2,UC Irvine
12,2019-11-30,5,4,13,3,6,75,13,1,4,63,1,UC Irvine
13,2019-12-31,5,11,13,1,8,55,16,1,5,47,0,UC Irvine
14,2020-01-31,6,4,13,2,11,57,8,6,1,48,4,UC Irvine
15,2019-09-30,10,8,4,5,2,69,1,4,5,69,2,UCLA
16,2019-10-31,5,8,5,6,11,65,4,2,8,67,9,UCLA
17,2019-11-30,5,6,9,7,11,61,5,5,9,61,2,UCLA
18,2019-12-31,3,4,9,1,7,61,14,1,5,44,4,UCLA
19,2020-01-31,3,7,4,5,12,66,2,4,7,63,8,UCLA
20,2019-09-30,6,5,8,3,2,78,5,2,7,53,1,UC San Diego
21,2019-10-31,5,3,4,1,7,71,4,2,7,72,5,UC San Diego
22,2019-11-30,2,8,4,4,4,57,11,3,3,62,4,UC San Diego
23,2019-12-31,6,2,4,2,10,48,16,0,4,52,5,UC San Diego
24,2020-01-31,1,3,5,1,4,58,2,3,2,43,1,UC San Diego
25,2019-09-30,0,0,0,0,0,2,0,0,0,1,0,UC Merced
26,2019-10-31,0,0,1,0,0,3,2,0,0,1,0,UC Merced
27,2019-11-30,0,0,0,0,0,1,0,0,0,0,0,UC Merced
28,2019-12-31,0,0,0,0,0,0,0,0,0,1,0,UC Merced
29,2020-01-31,0,1,0,0,0,2,0,0,0,1,0,UC Merced
30,2019-09-30,5,1,7,0,5,61,0,0,3,39,0,UC Riverside
31,2019-10-31,0,0,2,1,2,38,2,2,4,29,0,UC Riverside
32,2019-11-30,1,3,1,1,1,31,9,1,3,27,0,UC Riverside
33,2019-12-31,1,0,2,1,0,23,7,2,3,22,0,UC Riverside
34,2020-01-31,5,1,6,0,3,40,3,1,3,19,2,UC Riverside
35,2019-09-30,1,3,4,3,10,58,4,1,7,39,4,UC Santa Barbara
36,2019-10-31,3,6,3,3,4,56,4,0,5,37,7,UC Santa Barbara
37,2019-11-30,0,8,8,5,4,43,12,2,1,49,7,UC Santa Barbara
38,2019-12-31,0,7,7,0,5,38,14,0,3,38,4,UC Santa Barbara
39,2020-01-31,1,2,7,6,5,63,2,4,5,41,2,UC Santa Barbara
40,2019-09-30,2,3,10,2,4,59,3,2,4,49,0,UC Santa Cruz
41,2019-10-31,2,6,11,1,4,97,10,3,4,55,5,UC Santa Cruz
42,2019-11-30,3,5,9,4,6,76,11,6,7,64,5,UC Santa Cruz
43,2019-12-31,1,6,5,1,4,54,15,2,9,40,4,UC Santa Cruz
44,2020-01-31,5,5,4,1,7,71,2,3,7,43,2,UC Santa Cruz
45,2019-09-30,1,0,0,1,1,15,1,0,3,21,0,Stanford
46,2019-10-31,0,1,0,0,2,9,1,0,1,5,0,Stanford
47,2019-11-30,0,0,1,0,0,10,1,1,0,6,0,Stanford
48,2019-12-31,1,1,1,0,1,17,2,0,4,10,0,Stanford
49,2020-01-31,1,0,2,0,0,12,0,0,2,6,0,Stanford
50,2019-09-30,0,0,0,0,1,3,0,0,0,2,0,Yale
51,2019-10-31,0,1,0,0,1,1,0,0,0,6,0,Yale
52,2019-11-30,1,0,0,0,0,3,0,0,1,2,0,Yale
53,2019-12-31,0,0,0,0,0,3,0,0,0,2,0,Yale
54,2020-01-31,0,0,0,0,0,4,0,1,0,2,0,Yale
55,2019-09-30,0,0,0,0,0,3,0,0,0,2,0,Princeton
